segmento \ monto hasta,2,5,6,8,10,12,15,20,30,40,50,60,70,80,100,198,9999999
PP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBP,"-4,04",-4,"-4,08","-3,96","-2,76","-2,64","-2,52","-2,4","-3,08","-2,86","-2,92","-2,76","-2,76","-4,56","-4,56","-3,06",0
PRE,"-0,58","-0,84","-1,56","-1,2","-0,92","-0,6","-0,6","-0,6","-0,48","-0,48","-0,48","-0,48","-0,48","-2,04","-2,04","-2,04",0
