desc. puntos anuales,2,5,6,8,10,12,15,20,30,40,50,60,70,80,100,198,300
3,"-3,24","-3,24","-3,24","-3,24","-3,24","-3,24","-3,12","-3,12","-3,12","-3,12","-3,12","-3,12","-3,12","-3,12","0,00","0,00","0,00"
6,"-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","-1,93","0,00","0,00","0,00"
12,"-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","0,00","0,00","0,00"
24,"-4,20","-4,08","-4,08","-4,08","-4,08","-4,08","-4,08","-3,96","-3,96","-3,96","-3,96","-3,72","-3,00","-2,40","0,00","0,00","0,00"
36,"-4,44","-4,32","-4,32","-4,32","-4,20","-4,20","-4,20","-4,20","-4,20","-4,20","-3,84","-3,12","-2,52","-2,16","0,00","0,00","0,00"
48,"-4,92","-4,80","-4,68","-4,68","-4,56","-4,56","-4,56","-4,56","-4,56","-4,32","-3,36","-2,76","-2,40","-2,04","0,00","0,00","0,00"
60,"-4,20","-4,08","-4,08","-3,96","-3,84","-3,84","-3,84","-3,84","-3,84","-3,84","-3,12","-2,64","-2,28","-2,04","0,00","0,00","0,00"
72,"-3,72","-3,48","-3,48","-3,48","-3,24","-3,36","-3,36","-3,36","-3,36","-3,36","-3,00","-2,64","-2,28","-2,04","0,00","0,00","0,00"
84,"-3,24","-3,12","-3,00","-3,00","-2,76","-2,88","-2,88","-2,88","-2,88","-2,88","-2,88","-2,52","-2,28","-2,04","0,00","0,00","0,00"
